m,field,mean,norm
85.344,mad02,0,0
79.248,mad02,0,0
73.152,mad02,0,0
67.056,mad02,0.005208333,0.000115557
60.96,mad02,0.009090909,0.000201699
54.864,mad02,0,0
48.768,mad02,0.008169935,0.000181265
42.672,mad02,0.023771422,0.000527413
36.576,mad02,0.022212052,0.000492816
30.48,mad02,0.009837963,0.000218273
24.384,mad02,0.042748918,0.000948464
18.288,mad02,0.007977208,0.000176989
12.192,mad02,0.018059555,0.000400685
9.144,mad02,0.037652357,0.000835388
6.096,mad02,0.126445564,0.00280543
4.572,mad02,0.403802389,0.008959106
3.048,mad02,1.410615416,0.031297125
2.1336,mad02,4.626181845,0.102640442
1.524,mad02,12.4532923,0.276299433
0.9144,mad02,45.07172578,1
0.4572,mad02,79.96040005,1.774070078
0,mad02,98.1086833,2.176723469
85.344,mad03,0,0
79.248,mad03,0,0
73.152,mad03,0,0
67.056,mad03,0,0
60.96,mad03,0.002347418,0.000463991
54.864,mad03,0,0
48.768,mad03,0.003401361,0.000672314
42.672,mad03,0,0
36.576,mad03,0,0
30.48,mad03,0.002564103,0.000506821
24.384,mad03,0.004861961,0.000961016
18.288,mad03,0.028750903,0.005682911
12.192,mad03,0.010827887,0.002140243
9.144,mad03,0.056656426,0.011198724
6.096,mad03,0.273436618,0.054047552
4.572,mad03,0.416782278,0.082381292
3.048,mad03,0.491007134,0.097052596
2.1336,mad03,1.199646978,0.23712253
1.524,mad03,2.023201345,0.399906498
0.9144,mad03,5.059185969,1
0.4572,mad03,6.965491716,1.376800884
0,mad03,5.634950913,1.113805847
85.344,herm02,0.017241379,8.2363E-05
79.248,herm02,0.021778584,0.000104037
73.152,herm02,0.013636364,6.51416E-05
67.056,herm02,0.068355411,0.000326537
60.96,herm02,0.041104134,0.000196357
54.864,herm02,0.044331946,0.000211776
48.768,herm02,0.046495481,0.000222111
42.672,herm02,0.095865508,0.000457955
36.576,herm02,0.114634011,0.000547613
30.48,herm02,0.080278153,0.000383493
24.384,herm02,0.212012987,0.001012797
18.288,herm02,0.500991416,0.002393263
12.192,herm02,1.270916052,0.006071233
9.144,herm02,1.922420635,0.009183505
6.096,herm02,4.227928322,0.020197038
4.572,herm02,5.78625,0.027641223
3.048,herm02,18.03349945,0.086146984
2.1336,herm02,47.25977411,0.22576245
1.524,herm02,88.47932005,0.42267041
0.9144,herm02,209.3340768,1
0.4572,herm02,501.1731212,2.394130611
0,herm02,561.6503084,2.683033345
85.344,mean,0.005747126,2.74543E-05
79.248,mean,0.007259528,3.46792E-05
73.152,mean,0.004545455,2.17139E-05
67.056,mean,0.024521248,0.000147365
60.96,mean,0.017514154,0.000287349
54.864,mean,0.014777315,7.0592E-05
48.768,mean,0.019355592,0.000358563
42.672,mean,0.039878977,0.000328456
36.576,mean,0.045615354,0.000346809
30.48,mean,0.030893406,0.000369529
24.384,mean,0.086541289,0.000974093
18.288,mean,0.179239842,0.002751054
12.192,mean,0.433267831,0.00287072
9.144,mean,0.672243139,0.007072539
6.096,mean,1.542603501,0.02568334
4.572,mean,2.202278222,0.039660541
3.048,mean,6.645040665,0.071498902
2.1336,mean,17.69520098,0.188508474
1.524,mean,34.31860456,0.366292114
0.9144,mean,86.48832953,1
0.4572,mean,196.0330043,1.848333858
0,mean,221.7979809,1.991187554
